episode,epsilon,total_reward,steps,success
1,1.0,-267.0,197,1
2,0.995,-286.0,200,0
3,0.990025,-268.0,200,0
4,0.985074875,-272.0,200,0
5,0.9801495006250001,-275.0,200,0
6,0.9752487531218751,-282.0,200,0
7,0.9703725093562657,-288.0,200,0
8,0.9655206468094844,-262.0,200,0
9,0.960693043575437,-273.0,200,0
10,0.9558895783575597,-293.0,200,0
11,0.9511101304657719,-300.0,200,0
12,0.946354579813443,-290.0,200,0
13,0.9416228069143757,-266.0,200,0
14,0.9369146928798039,-287.0,200,0
15,0.9322301194154049,-278.0,200,0
16,0.9275689688183278,-261.0,200,0
17,0.9229311239742362,-270.0,200,0
18,0.918316468354365,-264.0,200,0
19,0.9137248860125932,-287.0,200,0
20,0.9091562615825302,-266.0,200,0
21,0.9046104802746175,-293.0,200,0
22,0.9000874278732445,-255.0,200,0
23,0.8955869907338783,-258.0,200,0
24,0.8911090557802088,-301.0,200,0
25,0.8866535105013078,-257.0,200,0
26,0.8822202429488013,-250.0,200,0
27,0.8778091417340573,-125.0,109,1
28,0.8734200960253871,-257.0,200,0
29,0.8690529955452602,-259.0,200,0
30,0.8647077305675338,-263.0,200,0
31,0.8603841919146962,-135.0,112,1
32,0.8560822709551227,-248.0,200,0
33,0.851801859600347,-255.0,200,0
34,0.8475428503023453,-151.0,130,1
35,0.8433051360508336,-253.0,200,0
36,0.8390886103705794,-79.0,71,1
37,0.8348931673187264,-255.0,200,0
38,0.8307187014821328,-250.0,200,0
39,0.8265651079747222,-261.0,200,0
40,0.8224322824348486,-286.0,200,0
41,0.8183201210226743,-243.0,200,0
42,0.8142285204175609,-143.0,121,1
43,0.810157377815473,-45.0,50,1
44,0.8061065909263957,-193.0,149,1
45,0.8020760579717637,-273.0,200,0
46,0.798065677681905,-121.0,108,1
47,0.7940753492934954,-105.0,93,1
48,0.7901049725470279,-248.0,200,0
49,0.7861544476842928,-262.0,200,0
50,0.7822236754458713,-125.0,105,1
51,0.778312557068642,-77.0,71,1
52,0.7744209942832988,-266.0,200,0
53,0.7705488893118823,-97.0,84,1
54,0.7666961448653229,-81.0,75,1
55,0.7628626641409962,-246.0,200,0
56,0.7590483508202912,-141.0,119,1
57,0.7552531090661897,-151.0,133,1
58,0.7514768435208588,-246.0,200,0
59,0.7477194593032545,-101.0,87,1
60,0.7439808620067382,-71.0,70,1
61,0.7402609576967045,-246.0,200,0
62,0.736559652908221,-155.0,133,1
63,0.7328768546436799,-167.0,150,1
64,0.7292124703704616,-260.0,200,0
65,0.7255664080186093,-248.0,200,0
66,0.7219385759785162,-81.0,74,1
67,0.7183288830986236,-201.0,182,1
68,0.7147372386831305,-31.0,43,1
69,0.7111635524897149,-29.0,43,1
70,0.7076077347272662,-241.0,200,0
71,0.7040696960536299,-243.0,200,0
72,0.7005493475733617,-67.0,67,1
73,0.697046600835495,-49.0,53,1
74,0.6935613678313175,-268.0,200,0
75,0.6900935609921609,-53.0,54,1
76,0.6866430931872001,-99.0,90,1
77,0.6832098777212641,-25.0,38,1
78,0.6797938283326578,-251.0,200,0
79,0.6763948591909945,-241.0,200,0
80,0.6730128848950395,-73.0,72,1
81,0.6696478204705644,-39.0,52,1
82,0.6662995813682115,-23.0,37,1
83,0.6629680834613705,-33.0,43,1
84,0.6596532430440636,-237.0,200,0
85,0.6563549768288433,-109.0,97,1
86,0.653073201944699,-41.0,47,1
87,0.6498078359349755,-131.0,126,1
88,0.6465587967553006,-59.0,60,1
89,0.6433260027715241,-37.0,48,1
90,0.6401093727576664,-109.0,107,1
91,0.6369088258938781,-19.0,34,1
92,0.6337242817644086,-240.0,200,0
93,0.6305556603555866,-15.0,29,1
94,0.6274028820538087,-33.0,43,1
95,0.6242658676435396,-246.0,200,0
96,0.6211445383053219,-47.0,56,1
97,0.6180388156137953,-177.0,161,1
98,0.6149486215357263,-23.0,36,1
99,0.6118738784280476,-49.0,56,1
100,0.6088145090359074,-63.0,65,1
101,0.6057704364907278,-11.0,27,1
102,0.6027415843082742,-29.0,38,1
103,0.5997278763867329,-248.0,200,0
104,0.5967292370047992,-69.0,76,1
105,0.5937455908197752,-29.0,39,1
106,0.5907768628656763,-61.0,61,1
107,0.5878229785513479,-61.0,69,1
108,0.5848838636585911,-39.0,47,1
109,0.5819594443402982,-31.0,40,1
110,0.5790496471185967,-234.0,200,0
111,0.5761543988830038,-246.0,200,0
112,0.5732736268885887,-147.0,138,1
113,0.5704072587541458,-29.0,40,1
114,0.567555222460375,-19.0,34,1
115,0.5647174463480732,-57.0,62,1
116,0.5618938591163328,-242.0,200,0
117,0.5590843898207511,-45.0,48,1
118,0.5562889678716474,-19.0,32,1
119,0.5535075230322891,-47.0,50,1
120,0.5507399854171277,-23.0,39,1
121,0.547986285490042,-242.0,200,0
122,0.5452463540625918,-21.0,32,1
123,0.5425201222922789,-125.0,121,1
124,0.5398075216808175,-19.0,33,1
125,0.5371084840724134,-27.0,39,1
126,0.5344229416520513,-21.0,36,1
127,0.531750826943791,-21.0,36,1
128,0.5290920728090721,-23.0,34,1
129,0.5264466124450268,-27.0,37,1
130,0.5238143793828016,-15.0,31,1
131,0.5211953074858876,-173.0,162,1
132,0.5185893309484582,-243.0,200,0
133,0.5159963842937159,-35.0,51,1
134,0.5134164023722473,-23.0,40,1
135,0.510849320360386,-21.0,34,1
136,0.5082950737585841,-59.0,65,1
137,0.5057535983897912,-23.0,36,1
138,0.5032248303978422,-131.0,141,1
139,0.500708706245853,-242.0,200,0
140,0.4982051627146237,-27.0,36,1
141,0.49571413690105054,-33.0,40,1
142,0.4932355662165453,-223.0,200,0
143,0.4907693883854626,-17.0,30,1
144,0.4883155414435353,-31.0,42,1
145,0.4858739637363176,-25.0,41,1
146,0.483444593917636,-35.0,48,1
147,0.4810273709480478,-13.0,29,1
148,0.47862223409330756,-27.0,38,1
149,0.47622912292284103,-19.0,34,1
150,0.4738479773082268,-61.0,74,1
151,0.47147873742168567,-15.0,31,1
152,0.46912134373457726,-15.0,29,1
153,0.46677573701590436,-27.0,43,1
154,0.46444185833082485,-17.0,31,1
155,0.46211964903917074,-27.0,41,1
156,0.4598090507939749,-13.0,29,1
157,0.457510005540005,-9.0,26,1
158,0.45522245551230495,-13.0,30,1
159,0.4529463432347434,-43.0,52,1
160,0.4506816115185697,-21.0,32,1
161,0.4484282034609769,-15.0,32,1
162,0.446186062443672,-29.0,43,1
163,0.4439551321314536,-25.0,35,1
164,0.4417353564707963,-21.0,35,1
165,0.43952667968844233,-39.0,48,1
166,0.43732904629000013,-3.0,23,1
167,0.4351424010585501,-21.0,34,1
168,0.43296668905325736,-23.0,33,1
169,0.43080185560799106,-7.0,25,1
170,0.4286478463299511,-23.0,36,1
171,0.42650460709830135,-1.0,21,1
172,0.42437208406280985,-13.0,28,1
173,0.4222502236424958,-13.0,32,1
174,0.42013897252428334,-1.0,22,1
175,0.4180382776616619,-11.0,26,1
176,0.4159480862733536,-230.0,200,0
177,0.41386834584198684,-51.0,55,1
178,0.4117990041127769,-21.0,34,1
179,0.40974000909221303,-15.0,31,1
180,0.40769130904675194,-5.0,24,1
181,0.40565285250151817,-23.0,37,1
182,0.4036245882390106,-11.0,26,1
183,0.4016064652978155,-11.0,27,1
184,0.3995984329713264,-21.0,34,1
185,0.3976004408064698,-19.0,32,1
186,0.39561243860243744,-17.0,30,1
187,0.3936343764094253,-9.0,27,1
188,0.39166620452737816,-7.0,27,1
189,0.3897078735047413,-9.0,27,1
190,0.3877593341372176,-19.0,33,1
191,0.3858205374665315,-11.0,27,1
192,0.38389143477919885,-3.0,23,1
193,0.3819719776053028,-35.0,46,1
194,0.3800621177172763,-29.0,38,1
195,0.37816180712868996,-9.0,26,1
196,0.37627099809304654,-21.0,34,1
197,0.3743896431025813,-21.0,35,1
198,0.37251769488706843,-9.0,27,1
199,0.3706551064126331,-19.0,32,1
200,0.36880183088056995,-15.0,32,1
201,0.3669578217261671,-21.0,32,1
202,0.36512303261753626,-13.0,27,1
203,0.3632974174544486,-5.0,24,1
204,0.3614809303671764,-9.0,28,1
205,0.3596735257153405,-9.0,26,1
206,0.3578751580867638,-15.0,32,1
207,0.35608578229633,-19.0,32,1
208,0.3543053533848483,-5.0,23,1
209,0.35253382661792404,-3.0,22,1
210,0.3507711574848344,-13.0,27,1
211,0.34901730169741024,-7.0,25,1
212,0.3472722151889232,-9.0,26,1
213,0.3455358541129786,-5.0,23,1
214,0.3438081748424137,-5.0,22,1
215,0.3420891339682016,-17.0,33,1
216,0.3403786882983606,-1.0,20,1
217,0.3386767948568688,-25.0,37,1
218,0.33698341088258443,-9.0,28,1
219,0.3352984938281715,-13.0,28,1
220,0.33362200135903064,-9.0,28,1
221,0.33195389135223546,-5.0,24,1
222,0.3302941218954743,-5.0,23,1
223,0.32864265128599696,-19.0,32,1
224,0.326999438029567,1.0,20,1
225,0.3253644408394192,-7.0,26,1
226,0.3237376186352221,-11.0,26,1
227,0.322118930542046,-17.0,34,1
228,0.32050833588933575,-11.0,26,1
229,0.31890579420988907,-9.0,25,1
230,0.3173112652388396,-9.0,26,1
231,0.3157247089126454,-11.0,27,1
232,0.3141460853680822,-3.0,21,1
233,0.3125753549412418,-23.0,37,1
234,0.31101247816653554,-23.0,36,1
235,0.30945741577570285,-5.0,22,1
236,0.3079101286968243,-3.0,21,1
237,0.3063705780533402,-1.0,20,1
238,0.30483872516307353,-9.0,27,1
239,0.3033145315372582,-11.0,28,1
240,0.3017979588795719,-9.0,27,1
241,0.30028896908517405,-11.0,29,1
242,0.2987875242397482,-5.0,23,1
243,0.29729358661854943,-7.0,23,1
244,0.29580711868545667,-1.0,20,1
245,0.2943280830920294,-9.0,27,1
246,0.29285644267656924,-7.0,24,1
247,0.2913921604631864,-7.0,25,1
248,0.28993519966087045,-1.0,20,1
249,0.2884855236625661,-5.0,25,1
250,0.28704309604425327,-19.0,36,1
251,0.285607880564032,-3.0,22,1
252,0.28417984116121187,-13.0,32,1
253,0.2827589419554058,-11.0,25,1
254,0.28134514724562876,-23.0,41,1
255,0.2799384215094006,-9.0,27,1
256,0.27853872940185365,-1.0,20,1
257,0.27714603575484437,-5.0,24,1
258,0.2757603055760701,-1.0,20,1
259,0.2743815040481898,1.0,19,1
260,0.2730095965279488,-7.0,25,1
261,0.27164454854530906,-21.0,34,1
262,0.2702863258025825,-13.0,28,1
263,0.2689348941735696,-5.0,23,1
264,0.26759021970270175,-9.0,26,1
265,0.2662522686041882,-7.0,24,1
266,0.2649210072611673,-7.0,24,1
267,0.26359640222486147,-9.0,28,1
268,0.26227842021373715,-9.0,26,1
269,0.2609670281126685,-1.0,22,1
270,0.25966219297210513,-1.0,21,1
271,0.2583638820072446,-9.0,25,1
272,0.2570720625972084,-13.0,29,1
273,0.25578670228422234,-5.0,23,1
274,0.25450776877280124,-3.0,23,1
275,0.2532352299289372,-11.0,25,1
276,0.2519690537792925,-3.0,21,1
277,0.2507092085103961,-3.0,24,1
278,0.2494556624678441,3.0,18,1
279,0.24820838415550486,-3.0,23,1
280,0.24696734223472733,-9.0,27,1
281,0.2457325055235537,-3.0,21,1
282,0.24450384299593592,-3.0,23,1
283,0.24328132378095624,-17.0,32,1
284,0.24206491716205145,-5.0,23,1
285,0.2408545925762412,1.0,19,1
286,0.23965031961336,-11.0,28,1
287,0.2384520680152932,-13.0,29,1
288,0.23725980767521673,-5.0,23,1
289,0.23607350863684065,-7.0,27,1
290,0.23489314109365644,-7.0,26,1
291,0.23371867538818816,-5.0,24,1
292,0.23255008201124722,-5.0,22,1
293,0.231387331601191,-13.0,30,1
294,0.23023039494318503,-9.0,27,1
295,0.2290792429684691,-5.0,26,1
296,0.22793384675362674,1.0,19,1
297,0.22679417751985861,-3.0,22,1
298,0.22566020663225933,1.0,19,1
299,0.22453190559909803,-7.0,26,1
300,0.22340924607110255,-1.0,20,1
301,0.22229219984074702,-9.0,27,1
302,0.2211807388415433,-1.0,20,1
303,0.22007483514733558,3.0,18,1
304,0.2189744609715989,-11.0,30,1
305,0.2178795886667409,-5.0,24,1
306,0.2167901907234072,-13.0,30,1
307,0.21570623976979014,-7.0,25,1
308,0.21462770857094118,-5.0,23,1
309,0.21355457002808648,-5.0,25,1
310,0.21248679717794605,-1.0,20,1
311,0.21142436319205632,-5.0,25,1
312,0.21036724137609603,-5.0,24,1
313,0.20931540516921554,-3.0,22,1
314,0.20826882814336947,-5.0,25,1
315,0.20722748400265262,3.0,18,1
316,0.20619134658263935,-7.0,24,1
317,0.20516038984972615,-11.0,28,1
318,0.2041345879004775,-9.0,25,1
319,0.2031139149609751,-1.0,20,1
320,0.20209834538617025,-7.0,26,1
321,0.2010878536592394,-1.0,20,1
322,0.2000824143909432,-3.0,21,1
323,0.19908200231898848,1.0,19,1
324,0.19808659230739353,-3.0,21,1
325,0.19709615934585656,1.0,19,1
326,0.19611067854912728,-3.0,24,1
327,0.19513012515638165,1.0,19,1
328,0.19415447453059972,-3.0,21,1
329,0.19318370215794672,-5.0,23,1
330,0.192217783647157,-3.0,22,1
331,0.1912566947289212,-1.0,20,1
332,0.1903004112552766,-11.0,29,1
333,0.18934890919900021,-3.0,21,1
334,0.18840216465300522,-3.0,21,1
335,0.18746015382974018,1.0,20,1
336,0.1865228530605915,-5.0,24,1
337,0.18559023879528855,-7.0,26,1
338,0.1846622876013121,-3.0,22,1
339,0.18373897616330553,-5.0,23,1
340,0.182820281282489,-1.0,22,1
341,0.18190617987607657,3.0,18,1
342,0.18099664897669618,1.0,19,1
343,0.1800916657318127,-15.0,31,1
344,0.17919120740315364,-7.0,24,1
345,0.17829525136613786,-7.0,25,1
346,0.17740377510930716,3.0,18,1
347,0.17651675623376062,-1.0,21,1
348,0.1756341724525918,1.0,19,1
349,0.17475600159032884,-5.0,24,1
350,0.17388222158237718,-3.0,22,1
351,0.1730128104744653,-7.0,27,1
352,0.17214774642209296,1.0,19,1
353,0.1712870076899825,1.0,20,1
354,0.17043057265153258,1.0,20,1
355,0.16957841978827493,-1.0,20,1
356,0.16873052768933355,-3.0,21,1
357,0.1678868750508869,-5.0,23,1
358,0.16704744067563246,-9.0,25,1
359,0.1662122034722543,3.0,18,1
360,0.16538114245489302,1.0,19,1
361,0.16455423674261854,-5.0,24,1
362,0.16373146555890544,-7.0,25,1
363,0.16291280823111093,3.0,18,1
364,0.16209824418995536,-1.0,21,1
365,0.16128775296900558,-3.0,22,1
366,0.16048131420416054,-3.0,23,1
367,0.15967890763313974,-5.0,22,1
368,0.15888051309497406,-5.0,24,1
369,0.1580861105294992,-3.0,24,1
370,0.1572956799768517,-1.0,21,1
371,0.15650920157696743,-9.0,27,1
372,0.1557266555690826,3.0,18,1
373,0.1549480222912372,1.0,20,1
374,0.15417328217978102,1.0,20,1
375,0.1534024157688821,-1.0,20,1
376,0.1526354036900377,3.0,18,1
377,0.1518722266715875,-1.0,20,1
378,0.15111286553822956,-1.0,21,1
379,0.15035730121053842,-1.0,21,1
380,0.14960551470448571,-1.0,22,1
381,0.14885748713096328,-1.0,21,1
382,0.14811319969530845,-1.0,21,1
383,0.1473726336968319,1.0,19,1
384,0.14663577052834775,-1.0,20,1
385,0.14590259167570602,1.0,20,1
386,0.1451730787173275,-1.0,21,1
387,0.14444721332374086,-5.0,23,1
388,0.14372497725712216,-1.0,20,1
389,0.14300635237083656,-15.0,31,1
390,0.14229132060898236,-3.0,21,1
391,0.14157986400593744,-1.0,20,1
392,0.14087196468590776,-5.0,24,1
393,0.14016760486247823,3.0,18,1
394,0.13946676683816583,-1.0,21,1
395,0.138769433003975,1.0,20,1
396,0.13807558583895513,-11.0,25,1
397,0.13738520790976036,1.0,20,1
398,0.13669828187021155,-1.0,22,1
399,0.13601479046086049,1.0,19,1
400,0.1353347165085562,3.0,18,1
401,0.1346580429260134,-3.0,23,1
402,0.13398475271138335,-3.0,21,1
403,0.13331482894782642,1.0,20,1
404,0.13264825480308728,-1.0,20,1
405,0.13198501352907185,-1.0,21,1
406,0.1313250884614265,3.0,18,1
407,0.13066846301911936,-1.0,20,1
