episode,epsilon,total_reward,steps,success
408,0.13001512070402377,-3.0,22,1
409,0.12936504510050365,-1.0,20,1
410,0.12871821987500112,1.0,20,1
411,0.12807462877562611,-5.0,25,1
412,0.12743425563174798,-5.0,23,1
413,0.12679708435358925,1.0,19,1
414,0.1261630989318213,1.0,19,1
415,0.1255322834371622,1.0,19,1
416,0.12490462201997637,-1.0,22,1
417,0.1242800989098765,-3.0,22,1
418,0.12365869841532712,-1.0,20,1
419,0.12304040492325048,-5.0,22,1
420,0.12242520289863423,-5.0,25,1
421,0.12181307688414106,3.0,18,1
422,0.12120401149972035,3.0,18,1
423,0.12059799144222175,-3.0,23,1
424,0.11999500148501063,1.0,20,1
425,0.11939502647758558,-1.0,21,1
426,0.11879805134519765,-1.0,22,1
427,0.11820406108847166,3.0,18,1
428,0.1176130407830293,1.0,20,1
429,0.11702497557911415,-1.0,20,1
430,0.11643985070121858,1.0,19,1
431,0.11585765144771248,-1.0,20,1
432,0.11527836319047392,3.0,18,1
433,0.11470197137452155,-3.0,23,1
434,0.11412846151764894,3.0,18,1
435,0.1135578192100607,-1.0,21,1
436,0.11299003011401039,-7.0,25,1
437,0.11242507996344034,1.0,19,1
438,0.11186295456362313,1.0,20,1
439,0.11130363979080501,1.0,19,1
440,0.11074712159185099,-3.0,21,1
441,0.11019338598389174,-1.0,22,1
442,0.10964241905397228,1.0,19,1
443,0.10909420695870241,-9.0,27,1
444,0.1085487359239089,-9.0,26,1
445,0.10800599224428936,-5.0,23,1
446,0.10746596228306791,-7.0,27,1
447,0.10692863247165257,1.0,20,1
448,0.1063939893092943,1.0,19,1
449,0.10586201936274783,-1.0,20,1
450,0.10533270926593409,1.0,19,1
451,0.10480604571960442,-3.0,22,1
452,0.1042820154910064,-5.0,23,1
453,0.10376060541355137,-1.0,22,1
454,0.1032418023864836,-3.0,21,1
455,0.10272559337455119,3.0,18,1
456,0.10221196540767843,3.0,18,1
457,0.10170090558064004,1.0,19,1
458,0.10119240105273684,1.0,19,1
459,0.10068643904747315,-3.0,22,1
460,0.10018300685223579,-1.0,22,1
461,0.0996820918179746,1.0,19,1
462,0.09918368135888474,3.0,18,1
463,0.09868776295209031,-1.0,21,1
464,0.09819432413732986,-5.0,22,1
465,0.09770335251664321,1.0,20,1
466,0.09721483575406,-5.0,23,1
467,0.09672876157528969,3.0,18,1
468,0.09624511776741324,-3.0,21,1
469,0.09576389217857617,1.0,20,1
470,0.09528507271768329,3.0,18,1
471,0.09480864735409487,1.0,19,1
472,0.0943346041173244,3.0,18,1
473,0.09386293109673778,3.0,18,1
474,0.09339361644125409,1.0,20,1
475,0.09292664835904782,1.0,19,1
476,0.09246201511725258,-7.0,25,1
477,0.09199970504166631,1.0,19,1
478,0.09153970651645797,-1.0,20,1
479,0.09108200798387568,-1.0,20,1
480,0.0906265979439563,1.0,19,1
481,0.09017346495423652,1.0,19,1
482,0.08972259762946533,3.0,18,1
483,0.089273984641318,-3.0,21,1
484,0.0888276147181114,3.0,18,1
485,0.08838347664452084,1.0,19,1
486,0.08794155926129824,-1.0,22,1
487,0.08750185146499175,3.0,18,1
488,0.08706434220766679,-1.0,22,1
489,0.08662902049662846,1.0,19,1
490,0.08619587539414532,1.0,19,1
491,0.08576489601717459,3.0,18,1
492,0.08533607153708872,3.0,18,1
493,0.08490939117940327,-1.0,20,1
494,0.08448484422350626,3.0,18,1
495,0.08406242000238873,3.0,18,1
496,0.08364210790237678,-1.0,21,1
497,0.0832238973628649,-1.0,22,1
498,0.08280777787605056,1.0,19,1
499,0.08239373898667031,-3.0,22,1
500,0.08198177029173696,-1.0,21,1
501,0.08157186144027828,1.0,19,1
502,0.0811640021330769,3.0,18,1
503,0.08075818212241151,-1.0,22,1
504,0.08035439121179945,3.0,18,1
505,0.07995261925574046,1.0,20,1
506,0.07955285615946175,3.0,18,1
507,0.07915509187866444,-1.0,21,1
508,0.07875931641927113,-1.0,21,1
509,0.07836551983717477,-3.0,23,1
510,0.07797369223798889,-1.0,21,1
511,0.07758382377679894,-1.0,21,1
512,0.07719590465791494,3.0,18,1
513,0.07680992513462537,1.0,20,1
514,0.07642587550895225,-3.0,22,1
515,0.07604374613140748,3.0,18,1
516,0.07566352740075044,3.0,18,1
517,0.07528520976374668,1.0,19,1
518,0.07490878371492794,1.0,19,1
519,0.0745342397963533,1.0,19,1
520,0.07416156859737154,3.0,18,1
521,0.07379076075438468,1.0,19,1
522,0.07342180695061275,1.0,19,1
523,0.07305469791585968,1.0,19,1
524,0.07268942442628039,-3.0,21,1
525,0.07232597730414898,3.0,18,1
526,0.07196434741762824,1.0,19,1
527,0.0716045256805401,3.0,18,1
528,0.0712465030521374,1.0,19,1
529,0.0708902705368767,1.0,19,1
530,0.07053581918419231,-3.0,23,1
531,0.07018314008827135,3.0,18,1
532,0.06983222438783,-5.0,23,1
533,0.06948306326589085,1.0,19,1
534,0.0691356479495614,1.0,19,1
535,0.06878996970981359,-5.0,24,1
536,0.06844601986126451,1.0,19,1
537,0.06810378976195819,3.0,18,1
538,0.0677632708131484,1.0,20,1
539,0.06742445445908266,1.0,19,1
540,0.06708733218678724,-3.0,23,1
541,0.0667518955258533,3.0,18,1
542,0.06641813604822402,-1.0,20,1
543,0.0660860453679829,1.0,19,1
544,0.06575561514114299,1.0,19,1
545,0.06542683706543727,3.0,18,1
546,0.06509970288011008,1.0,19,1
547,0.06477420436570952,3.0,18,1
548,0.06445033334388098,-3.0,22,1
549,0.06412808167716157,-1.0,21,1
550,0.06380744126877576,3.0,18,1
551,0.06348840406243188,-1.0,21,1
552,0.06317096204211972,3.0,18,1
553,0.06285510723190912,1.0,19,1
554,0.06254083169574957,3.0,18,1
555,0.062228127537270826,3.0,18,1
556,0.06191698689958447,3.0,18,1
557,0.061607401965086545,1.0,19,1
558,0.06129936495526111,3.0,18,1
559,0.0609928681304848,3.0,18,1
560,0.060687903789832374,1.0,20,1
561,0.06038446427088321,3.0,18,1
562,0.06008254194952879,3.0,18,1
563,0.05978212923978115,1.0,19,1
564,0.05948321859358224,1.0,20,1
565,0.05918580250061433,3.0,18,1
566,0.058889873488111255,3.0,18,1
567,0.058595424120670696,3.0,18,1
568,0.05830244700006734,3.0,18,1
569,0.058010934765067,1.0,20,1
570,0.05772088009124167,3.0,18,1
571,0.05743227569078546,-7.0,24,1
572,0.05714511431233153,3.0,18,1
573,0.05685938874076987,-1.0,20,1
574,0.056575091797066025,-1.0,22,1
575,0.056292216338080694,1.0,20,1
576,0.05601075525639029,1.0,20,1
577,0.05573070148010834,3.0,18,1
578,0.0554520479727078,1.0,19,1
579,0.05517478773284426,1.0,19,1
580,0.05489891379418004,3.0,18,1
581,0.05462441922520914,1.0,19,1
582,0.0543512971290831,3.0,18,1
583,0.05407954064343768,3.0,18,1
584,0.05380914294022049,1.0,19,1
585,0.05354009722551939,1.0,20,1
586,0.05327239673939179,3.0,18,1
587,0.053006034755694834,3.0,18,1
588,0.052741004581916356,3.0,18,1
589,0.052477299559006776,3.0,18,1
590,0.052214913061211746,3.0,18,1
591,0.05195383849590569,1.0,19,1
592,0.05169406930342616,3.0,18,1
593,0.05143559895690903,-1.0,20,1
594,0.051178420962124486,3.0,18,1
595,0.05092252885731386,3.0,18,1
596,0.05066791621302729,3.0,18,1
597,0.05041457663196215,1.0,20,1
598,0.050162503748802344,3.0,18,1
599,0.05,1.0,19,1
600,0.05,-1.0,22,1
601,0.05,3.0,18,1
602,0.05,1.0,19,1
603,0.05,1.0,20,1
604,0.05,1.0,19,1
605,0.05,3.0,18,1
606,0.05,3.0,18,1
607,0.05,3.0,18,1
608,0.05,3.0,18,1
609,0.05,1.0,19,1
610,0.05,-3.0,22,1
611,0.05,3.0,18,1
612,0.05,3.0,18,1
613,0.05,1.0,19,1
614,0.05,3.0,18,1
615,0.05,3.0,18,1
616,0.05,3.0,18,1
617,0.05,1.0,20,1
618,0.05,1.0,19,1
619,0.05,1.0,20,1
620,0.05,3.0,18,1
621,0.05,3.0,18,1
622,0.05,1.0,20,1
623,0.05,3.0,18,1
624,0.05,3.0,18,1
625,0.05,3.0,18,1
626,0.05,1.0,20,1
627,0.05,3.0,18,1
628,0.05,1.0,20,1
629,0.05,3.0,18,1
630,0.05,3.0,18,1
631,0.05,3.0,18,1
632,0.05,1.0,20,1
633,0.05,3.0,18,1
634,0.05,3.0,18,1
635,0.05,-1.0,21,1
636,0.05,1.0,19,1
637,0.05,1.0,19,1
638,0.05,3.0,18,1
639,0.05,3.0,18,1
640,0.05,3.0,18,1
641,0.05,-1.0,22,1
642,0.05,3.0,18,1
643,0.05,3.0,18,1
644,0.05,1.0,20,1
645,0.05,1.0,20,1
646,0.05,1.0,19,1
647,0.05,1.0,19,1
648,0.05,1.0,20,1
649,0.05,3.0,18,1
650,0.05,3.0,18,1
651,0.05,1.0,20,1
652,0.05,1.0,19,1
653,0.05,1.0,19,1
654,0.05,3.0,18,1
655,0.05,-3.0,22,1
656,0.05,3.0,18,1
657,0.05,3.0,18,1
658,0.05,3.0,18,1
659,0.05,3.0,18,1
660,0.05,3.0,18,1
661,0.05,3.0,18,1
662,0.05,1.0,20,1
663,0.05,3.0,18,1
664,0.05,1.0,19,1
665,0.05,3.0,18,1
666,0.05,-1.0,20,1
667,0.05,1.0,19,1
668,0.05,3.0,18,1
669,0.05,3.0,18,1
670,0.05,3.0,18,1
671,0.05,3.0,18,1
672,0.05,3.0,18,1
673,0.05,3.0,18,1
674,0.05,1.0,19,1
675,0.05,1.0,19,1
676,0.05,-1.0,20,1
677,0.05,-1.0,21,1
678,0.05,3.0,18,1
679,0.05,3.0,18,1
680,0.05,3.0,18,1
681,0.05,1.0,19,1
682,0.05,1.0,19,1
683,0.05,3.0,18,1
684,0.05,1.0,19,1
685,0.05,-1.0,21,1
686,0.05,1.0,19,1
687,0.05,1.0,19,1
688,0.05,3.0,18,1
689,0.05,3.0,18,1
690,0.05,-1.0,20,1
691,0.05,3.0,18,1
692,0.05,3.0,18,1
693,0.05,-1.0,21,1
694,0.05,3.0,18,1
695,0.05,3.0,18,1
696,0.05,3.0,18,1
697,0.05,1.0,20,1
698,0.05,1.0,19,1
699,0.05,3.0,18,1
700,0.05,3.0,18,1
701,0.05,3.0,18,1
702,0.05,3.0,18,1
703,0.05,3.0,18,1
704,0.05,3.0,18,1
705,0.05,3.0,18,1
706,0.05,3.0,18,1
707,0.05,3.0,18,1
708,0.05,3.0,18,1
709,0.05,3.0,18,1
710,0.05,3.0,18,1
711,0.05,3.0,18,1
712,0.05,3.0,18,1
713,0.05,3.0,18,1
714,0.05,3.0,18,1
715,0.05,1.0,19,1
716,0.05,3.0,18,1
717,0.05,1.0,19,1
718,0.05,1.0,19,1
719,0.05,3.0,18,1
720,0.05,3.0,18,1
721,0.05,1.0,20,1
722,0.05,3.0,18,1
723,0.05,3.0,18,1
724,0.05,1.0,20,1
725,0.05,3.0,18,1
726,0.05,1.0,19,1
727,0.05,3.0,18,1
728,0.05,3.0,18,1
729,0.05,1.0,19,1
730,0.05,3.0,18,1
731,0.05,3.0,18,1
732,0.05,1.0,19,1
733,0.05,3.0,18,1
734,0.05,1.0,19,1
735,0.05,3.0,18,1
736,0.05,1.0,20,1
737,0.05,1.0,19,1
738,0.05,3.0,18,1
739,0.05,3.0,18,1
740,0.05,1.0,20,1
741,0.05,3.0,18,1
742,0.05,3.0,18,1
743,0.05,-1.0,20,1
744,0.05,3.0,18,1
745,0.05,3.0,18,1
746,0.05,3.0,18,1
747,0.05,3.0,18,1
748,0.05,3.0,18,1
749,0.05,3.0,18,1
750,0.05,3.0,18,1
751,0.05,-1.0,21,1
752,0.05,3.0,18,1
753,0.05,1.0,19,1
754,0.05,3.0,18,1
755,0.05,3.0,18,1
756,0.05,3.0,18,1
757,0.05,3.0,18,1
758,0.05,3.0,18,1
759,0.05,3.0,18,1
760,0.05,1.0,19,1
761,0.05,1.0,20,1
762,0.05,3.0,18,1
763,0.05,1.0,19,1
764,0.05,-1.0,22,1
765,0.05,-3.0,21,1
766,0.05,3.0,18,1
767,0.05,-3.0,23,1
768,0.05,1.0,20,1
769,0.05,-1.0,20,1
770,0.05,1.0,19,1
771,0.05,1.0,19,1
772,0.05,1.0,20,1
773,0.05,3.0,18,1
774,0.05,3.0,18,1
775,0.05,1.0,19,1
776,0.05,1.0,19,1
777,0.05,1.0,20,1
778,0.05,3.0,18,1
779,0.05,3.0,18,1
780,0.05,3.0,18,1
781,0.05,3.0,18,1
782,0.05,3.0,18,1
783,0.05,3.0,18,1
784,0.05,1.0,20,1
785,0.05,3.0,18,1
786,0.05,3.0,18,1
787,0.05,3.0,18,1
788,0.05,3.0,18,1
789,0.05,1.0,20,1
790,0.05,1.0,20,1
791,0.05,3.0,18,1
792,0.05,3.0,18,1
793,0.05,1.0,19,1
794,0.05,3.0,18,1
795,0.05,3.0,18,1
796,0.05,1.0,20,1
797,0.05,-1.0,20,1
798,0.05,1.0,20,1
799,0.05,3.0,18,1
800,0.05,3.0,18,1
801,0.05,3.0,18,1
802,0.05,-1.0,21,1
803,0.05,3.0,18,1
804,0.05,3.0,18,1
805,0.05,-1.0,22,1
806,0.05,-3.0,22,1
807,0.05,1.0,19,1
808,0.05,3.0,18,1
809,0.05,1.0,20,1
810,0.05,-1.0,22,1
811,0.05,-1.0,21,1
812,0.05,1.0,19,1
813,0.05,-1.0,20,1
814,0.05,3.0,18,1
815,0.05,3.0,18,1
816,0.05,1.0,19,1
817,0.05,-1.0,22,1
818,0.05,3.0,18,1
819,0.05,3.0,18,1
820,0.05,1.0,19,1
821,0.05,-1.0,21,1
822,0.05,3.0,18,1
823,0.05,3.0,18,1
824,0.05,1.0,19,1
825,0.05,3.0,18,1
826,0.05,1.0,19,1
827,0.05,3.0,18,1
828,0.05,1.0,19,1
829,0.05,3.0,18,1
830,0.05,3.0,18,1
831,0.05,3.0,18,1
832,0.05,1.0,20,1
833,0.05,-3.0,23,1
834,0.05,3.0,18,1
835,0.05,1.0,20,1
836,0.05,3.0,18,1
837,0.05,3.0,18,1
838,0.05,1.0,20,1
839,0.05,3.0,18,1
840,0.05,3.0,18,1
841,0.05,1.0,19,1
842,0.05,1.0,20,1
843,0.05,3.0,18,1
844,0.05,3.0,18,1
845,0.05,3.0,18,1
846,0.05,1.0,20,1
847,0.05,3.0,18,1
848,0.05,1.0,20,1
849,0.05,-1.0,22,1
850,0.05,-3.0,22,1
851,0.05,3.0,18,1
852,0.05,-1.0,21,1
853,0.05,3.0,18,1
854,0.05,1.0,20,1
855,0.05,3.0,18,1
856,0.05,3.0,18,1
857,0.05,3.0,18,1
858,0.05,-1.0,20,1
859,0.05,3.0,18,1
860,0.05,1.0,20,1
861,0.05,3.0,18,1
862,0.05,3.0,18,1
863,0.05,3.0,18,1
864,0.05,3.0,18,1
865,0.05,1.0,20,1
866,0.05,1.0,19,1
867,0.05,3.0,18,1
868,0.05,3.0,18,1
869,0.05,3.0,18,1
870,0.05,3.0,18,1
871,0.05,3.0,18,1
872,0.05,3.0,18,1
873,0.05,3.0,18,1
874,0.05,3.0,18,1
875,0.05,1.0,20,1
876,0.05,-1.0,21,1
877,0.05,-1.0,21,1
878,0.05,3.0,18,1
879,0.05,3.0,18,1
880,0.05,1.0,20,1
881,0.05,3.0,18,1
882,0.05,3.0,18,1
883,0.05,3.0,18,1
884,0.05,3.0,18,1
885,0.05,3.0,18,1
886,0.05,3.0,18,1
887,0.05,1.0,20,1
888,0.05,3.0,18,1
889,0.05,3.0,18,1
890,0.05,3.0,18,1
891,0.05,1.0,19,1
892,0.05,3.0,18,1
893,0.05,1.0,19,1
894,0.05,1.0,20,1
895,0.05,-1.0,21,1
896,0.05,-3.0,22,1
897,0.05,3.0,18,1
898,0.05,3.0,18,1
899,0.05,1.0,20,1
900,0.05,3.0,18,1
901,0.05,3.0,18,1
902,0.05,3.0,18,1
903,0.05,3.0,18,1
904,0.05,1.0,20,1
905,0.05,3.0,18,1
906,0.05,3.0,18,1
907,0.05,1.0,19,1
908,0.05,3.0,18,1
909,0.05,1.0,19,1
910,0.05,3.0,18,1
911,0.05,-3.0,23,1
912,0.05,1.0,19,1
913,0.05,3.0,18,1
914,0.05,3.0,18,1
915,0.05,3.0,18,1
916,0.05,3.0,18,1
917,0.05,-1.0,21,1
918,0.05,3.0,18,1
919,0.05,1.0,19,1
920,0.05,3.0,18,1
921,0.05,1.0,19,1
922,0.05,3.0,18,1
923,0.05,1.0,20,1
924,0.05,1.0,20,1
925,0.05,-3.0,22,1
926,0.05,1.0,20,1
927,0.05,-1.0,21,1
928,0.05,1.0,19,1
929,0.05,-1.0,20,1
930,0.05,-3.0,23,1
931,0.05,1.0,20,1
932,0.05,3.0,18,1
933,0.05,1.0,20,1
934,0.05,3.0,18,1
935,0.05,3.0,18,1
936,0.05,1.0,20,1
937,0.05,1.0,19,1
938,0.05,1.0,19,1
939,0.05,1.0,20,1
940,0.05,-1.0,20,1
941,0.05,-1.0,21,1
942,0.05,-1.0,20,1
943,0.05,3.0,18,1
944,0.05,3.0,18,1
945,0.05,3.0,18,1
946,0.05,-1.0,21,1
947,0.05,3.0,18,1
948,0.05,3.0,18,1
949,0.05,3.0,18,1
950,0.05,3.0,18,1
951,0.05,-1.0,21,1
952,0.05,1.0,19,1
953,0.05,3.0,18,1
954,0.05,3.0,18,1
955,0.05,1.0,20,1
956,0.05,1.0,19,1
957,0.05,1.0,20,1
958,0.05,-1.0,21,1
959,0.05,-1.0,20,1
960,0.05,1.0,20,1
961,0.05,-1.0,22,1
962,0.05,3.0,18,1
963,0.05,1.0,19,1
964,0.05,3.0,18,1
965,0.05,1.0,20,1
966,0.05,3.0,18,1
967,0.05,1.0,19,1
968,0.05,1.0,20,1
969,0.05,1.0,19,1
970,0.05,1.0,19,1
971,0.05,3.0,18,1
972,0.05,1.0,19,1
973,0.05,3.0,18,1
974,0.05,-1.0,22,1
975,0.05,1.0,20,1
976,0.05,3.0,18,1
977,0.05,3.0,18,1
978,0.05,3.0,18,1
979,0.05,3.0,18,1
980,0.05,3.0,18,1
981,0.05,3.0,18,1
982,0.05,3.0,18,1
983,0.05,-1.0,22,1
984,0.05,-1.0,20,1
985,0.05,1.0,19,1
986,0.05,1.0,20,1
987,0.05,-1.0,20,1
988,0.05,1.0,20,1
989,0.05,1.0,19,1
990,0.05,1.0,19,1
991,0.05,-1.0,20,1
992,0.05,3.0,18,1
993,0.05,1.0,20,1
994,0.05,3.0,18,1
995,0.05,-1.0,20,1
996,0.05,1.0,20,1
997,0.05,1.0,19,1
998,0.05,-1.0,21,1
999,0.05,1.0,19,1
1000,0.05,3.0,18,1
